province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
四川省,2017,1214.2,3480.38,3041.2,384.45,3095.9300000000003,0.8738126296553824,0.889537924019791,,280.61,299.68,580.29,0.5164314394526875,0.4779196178553779,,
四川省,2018,1411.7,3687.0,3156.91,453.47,3233.53,0.8562272850556008,0.8770084079197179,,211.06,485.87,696.9300000000001,0.6971575337551834,0.4936813770631154,,
四川省,2019,1552.2,3923.88,3316.01,508.47,3415.41,0.8450844572209141,0.8704165264992813,,240.07,493.81,733.88,0.672875674497193,0.4727998969204999,10017.0,324464.0
四川省,2020,1513.5,4182.28,3541.38,527.65,3654.63,0.8467582275696511,0.8738367588970609,,238.89,490.81,729.7,0.672618884473071,0.4821275189957053,,
四川省,2021,1804.4,4530.33,3724.46,666.79,3863.54,0.8221167111446628,0.852816461493975,,250.38,505.94,756.3199999999999,0.6689496509414005,0.4191531811128352,,419500.0
四川省,2022,2062.7,4846.17,3886.56,794.61,4051.56,0.8019858981422443,0.8360334036981781,54.6105586297267,249.32,504.42,753.74,0.6692228089261549,0.3654142628593591,42000.0,455500.0
四川省,2023,2558.1,5006.49,3863.44,922.61,4083.88,0.7716863511162512,0.8157171990755998,88.41049955333683,,,,,,83200.0,473900.0
天津市,2012,684.0,589.7,0.0,585.25,4.4500000000000455,0.0,0.0075462099372563,,65.04,129.3,194.34000000000003,0.6653288051867859,0.2841228070175439,,
天津市,2013,686.1,624.26,0.2,619.05,5.210000000000036,0.0003203793291256,0.0083458815237241,,30.94,107.24,138.18,0.7760891590678825,0.2013992129427197,,
天津市,2014,689.8,625.52,0.2,618.44,7.079999999999927,0.0003197339813275,0.0113185829389946,,31.3,111.52,142.82,0.7808430191849881,0.2070455204407074,,
天津市,2015,673.4,623.0,0.16,614.15,8.850000000000023,0.0002568218298555,0.0142054574638844,,30.2,118.45,148.65,0.7968382105617221,0.2207454707454707,,
