province,year,resident_population_10k_person,source_id,source_level,source_name,source_url,publish_date,access_date,evidence,note
内蒙古自治区,2020,2403.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2020,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2021,2400.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2021,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2022,2401.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2022,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2023,2396.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2023,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2024,2388,SRC_CASE03_POP2024_R3_NM,A,内蒙古自治区人民政府-人口（2024年人口主要数据）,https://www.nmg.gov.cn/asnmg/shjj/rk/index_2383.html,,2026-03-27,一项重要的区情区力调查。本次调查以 2024年11月1日零时为调查的标准时点 ，采取多阶段、分层、概率比例抽样方法，全区 共 抽取 862 个村级样本，调查登记 4.7万住户。现将根据本次调查推算的人口主要数据公布如下： 一、常住人口总量 2024年末 ，全区常住人口 2388 万人，比 2023年减少8万人，下降0.33%。 二、城乡构成 全区常住人口中，城镇人口 1689万人，比2023年增加21.9万人；乡村人口699万人，比2023年减少29.9万人。常住人口城镇化率70.73%，比2023年提高了1.15个百分点。 三、年龄构成 全区常住人口中， 0-15岁人口322万人，占总人口的13.48%；16-59岁人口1496万人，占62.65%；60岁及以上人口57,Round3严格补采; 自治区政府省情页，人口抽样调查推算数据。
辽宁省,2015,4338.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2015,当前环境NBS在线接口不可达，使用本地缓存回填
辽宁省,2016,4327.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2016,当前环境NBS在线接口不可达，使用本地缓存回填
辽宁省,2017,4312.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2017,当前环境NBS在线接口不可达，使用本地缓存回填
辽宁省,2018,4291.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2018,当前环境NBS在线接口不可达，使用本地缓存回填
辽宁省,2019,4277.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2019,当前环境NBS在线接口不可达，使用本地缓存回填
